in:Design,in:Glazing ratio,out:Amount of surface energy loss [kWh/m2],out:EUI (SI) (kWh/m2),out:Annual Utility Cost (Euro/m2),out:Percentage of Time Comfortable,out:Percentage of Time Too Hot,out:Percentage of Time Too Cold,out:Amount of Lux average,img_1,img_2
Variant 3,55%,0.025,1569.818219,186.547474,63.48,5.2,31.32,389.16,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio55%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio55%_Parallel.png
Variant 4,55%,0.068,2501.335511,319.236497,72.41,3.88,23.72,339.38,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio55%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio55%_Parallel.png
Variant 5,55%,0.038,1667.824618,229.869586,66.16,0.83,33,497.38,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio55%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio55%_Parallel.png
Variant 1,60%,0.058,1781.546677,216.798127,64.26,6.03,29.71,426.7,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio60%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio60%_Parallel.png
Variant 2,60%,0.116,2863.388197,369.923917,71.61,4.34,24.05,383.5,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio60%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio60%_Parallel.png
Variant 3,60%,0.027,1646.997474,197.35257,63.32,5.3,31.38,402.95,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio60%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio60%_Parallel.png
Variant 4,60%,0.107,2676.728378,343.791498,71.91,4.22,23.88,368.69,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio60%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio60%_Parallel.png
Variant 5,60%,0.042,1808.511606,249.565764,66.21,0.87,32.92,535.65,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio60%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio60%_Parallel.png
Variant 1,65%,0.065,1877.552482,230.23894,64.06,6.28,29.66,437.53,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio65%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio65%_Parallel.png
Variant 2,65%,0.129,3051.470514,396.255442,70.87,4.83,24.3,409.1,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio65%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio65%_Parallel.png
Variant 3,65%,0.029,1724.848946,208.251775,63.11,5.48,31.41,415.94,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio65%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio65%_Parallel.png
Variant 4,65%,0.12,2850.25171,368.084765,71.15,4.7,24.15,395.21,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio65%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio65%_Parallel.png
Variant 5,65%,0.045,1949.836197,269.351206,66.11,1,32.89,574.6,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio65%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio65%_Parallel.png
Variant 1,70%,0.071,1974.076221,243.752264,63.85,6.44,29.7,449.41,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio70%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio70%_Parallel.png
Variant 2,70%,0.144,3240.645015,422.739871,70.2,5.25,24.55,435.79,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio70%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio70%_Parallel.png
Variant 3,70%,0.042,1803.841347,219.310712,62.92,5.67,31.42,430.26,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio70%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio70%_Parallel.png
Variant 4,70%,0.134,3027.122187,392.846631,70.54,5.14,24.33,422.39,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio70%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio70%_Parallel.png
Variant 5,70%,0.049,2092.804951,289.366832,65.89,1.16,32.95,613.77,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio70%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio70%_Parallel.png
Variant 1,75%,0.079,2072.228832,257.493628,63.68,6.64,29.67,463.07,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio75%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio75%_Parallel.png
Variant 2,75%,0.158,3430.006275,449.250448,69.46,5.71,24.83,461.81,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio75%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio75%_Parallel.png
Variant 3,75%,0.045,1886.127917,230.830831,62.71,5.87,31.42,449.66,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio75%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio75%_Parallel.png
Variant 4,75%,0.146,3200.150176,417.07055,69.92,5.49,24.59,449.6,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio75%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio75%_Parallel.png
Variant 5,75%,0.052,2235.053415,309.281617,65.57,1.45,32.98,655.43,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio75%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio75%_Parallel.png
Variant 1,80%,0.084,2175.65732,271.973617,63.48,6.83,29.7,488.38,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio80%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio80%_Parallel.png
Variant 2,80%,0.171,3629.102379,477.123902,68.83,6.05,25.12,500.09,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio80%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio80%_Parallel.png
Variant 3,80%,0.048,1969.634186,242.52171,62.56,6,31.44,471.01,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio80%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio80%_Parallel.png
Variant 4,80%,0.158,3384.870293,442.931366,69.29,5.81,24.9,486.23,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio80%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio80%_Parallel.png
Variant 5,80%,0.057,2378.230908,329.326466,65.45,1.78,32.77,710.96,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio80%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio80%_Parallel.png
Variant 1,85%,0.091,2281.175744,286.746196,63.22,7.02,29.75,517.5,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio85%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio85%_Parallel.png
Variant 2,85%,0.184,3833.54701,505.746151,68.24,6.32,25.45,546.79,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio85%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio85%_Parallel.png
Variant 3,85%,0.051,2055.926328,254.60261,62.36,6.12,31.52,495.24,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio85%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio85%_Parallel.png
Variant 4,85%,0.17,3575.738698,469.652944,68.74,6.14,25.12,531.53,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio85%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio85%_Parallel.png
Variant 5,85%,0.074,2525.004503,349.874769,65.29,2.07,32.65,773.89,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio85%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio85%_Parallel.png
Variant 1,90%,0.096,2386.908394,301.548768,62.95,7.16,29.89,549.81,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio90%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio90%_Parallel.png
Variant 2,90%,0.198,4048.198502,535.79736,67.65,6.64,25.71,601.77,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio90%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio90%_Parallel.png
Variant 3,90%,0.054,2143.380116,266.84614,62.14,6.28,31.58,524.41,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio90%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio90%_Parallel.png
Variant 4,90%,0.183,3771.458337,497.053692,68.15,6.44,25.41,585.01,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio90%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio90%_Parallel.png
Variant 5,90%,0.08,2674.186117,370.760196,64.85,2.57,32.58,843.58,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio90%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio90%_Parallel.png
Variant 1,95%,0.096,2490.883601,316.105296,62.8,7.16,30.04,564.25,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio95%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio95%_Parallel.png
Variant 2,95%,0.211,4260.581878,565.531032,67.12,6.88,26,631.74,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio95%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio95%_Parallel.png
Variant 3,95%,0.056,2231.204539,279.141559,61.96,6.4,31.64,535.81,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio95%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio95%_Parallel.png
Variant 4,95%,0.195,3965.812044,524.263211,67.63,6.66,25.72,611.64,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio95%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio95%_Parallel.png
Variant 5,95%,0.086,2823.684257,391.689935,64.49,3.03,32.49,874.03,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio95%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio95%_Parallel.png
